[2023-01-31 12:00:02] | 【INFO】 | <src.case.conftest> | 实例化驱动成功！
[2023-01-31 12:00:04] | 【INFO】 | <src.utils.elementoperator> | 打开网页：https://www.coupert.com/user/login
[2023-01-31 12:00:04] | 【INFO】 | <src.utils.elementoperator> | --输入Email:burtontest@test.com--
[2023-01-31 12:00:04] | 【INFO】 | <src.utils.elementoperator> | 查找"输入Email"元素，元素定位:('xpath', '//*[@id="__next"]/div/div/main/div[2]/div[2]/div/div[3]/div/div/div/div/input')
[2023-01-31 12:00:05] | 【INFO】 | <src.utils.elementoperator> | 在"输入Email"输入"burtontest@test.com",元素定位:('xpath', '//*[@id="__next"]/div/div/main/div[2]/div[2]/div/div[3]/div/div/div/div/input')
[2023-01-31 12:00:06] | 【INFO】 | <src.utils.elementoperator> | --输入Password:123456--
[2023-01-31 12:00:06] | 【INFO】 | <src.utils.elementoperator> | 查找"输入Password"元素，元素定位:('xpath', '//*[@id="__next"]/div/div/main/div[2]/div[2]/div/div[4]/div/div/div/div/span/input')
[2023-01-31 12:00:06] | 【INFO】 | <src.utils.elementoperator> | 在"输入Password"输入"123456",元素定位:('xpath', '//*[@id="__next"]/div/div/main/div[2]/div[2]/div/div[4]/div/div/div/div/span/input')
[2023-01-31 12:00:06] | 【INFO】 | <src.utils.elementoperator> | --判断是否点击登录，页面完成跳转--
[2023-01-31 12:00:06] | 【INFO】 | <src.utils.elementoperator> | 等待"判断是否进入个人中心"元素,定位方式:('xpath', '//*[@id="__next"]/main/div/div[1]/div[1]/div[3]/span[2]')
[2023-01-31 12:00:31] | 【INFO】 | <src.utils.elementoperator> | 等待"判断是否进入个人中心"时长:0:00:25.170025
[2023-01-31 12:00:37] | 【INFO】 | <src.utils.elementoperator> | 打开网页：https://www.coupert.com/user/withdraw
[2023-01-31 12:00:38] | 【INFO】 | <src.utils.elementoperator> | --点击开始提现按钮--
[2023-01-31 12:00:38] | 【INFO】 | <src.utils.elementoperator> | 查找"开始提现按钮"元素，元素定位:('xpath', '//*[@id="__next"]/main/div/div[2]/div/div[1]/div/div/div[2]/div[2]/div')
